waste_type,y2007,,,,,,,,,,,,
Plating and heat treatment ,5.00,,,,,,,,,,,,
Acids,29209.00,,,,,,,,,,,,
Alkalis,9533.00,,,,,,,,,,,,
Inorganic chemicals,70633.00,,,,,,,,,,,,
Reactive chemicals,240.00,,,,,,,,,,,,
"Paints, resins, inks, organic sludges",16540.00,,,,,,,,,,,,
Organic solvents,1967.00,,,,,,,,,,,,
Pesticides,676.00,,,,,,,,,,,,
Oils,137872.00,,,,,,,,,,,,
Putrescible/ organic waste,119333.00,,,,,,,,,,,,
Organic chemicals,3662.00,,,,,,,,,,,,
Soil/ sludge,610128.00,,,,,,,,,,,,
Clinical and pharmaceutical,13632.00,,,,,,,,,,,,
Miscellaneous,84745.00,,,,,,,,,,,,
Other,72913.00,,,,,,,,,,,,
